,IGN,Name,Team,Role,Country,Age
262,XinMo,Li Qian-Xi (李千禧),Bilibili Gaming,Support,China,20.0
263,Xinnu,Zeng Ke-Gui (曾科贵),Gama Dream,Top,China,
264,Xinyi,Chang Ping (常平),FunPlus Phoenix,Jungler,China,24.0
265,xiye,Su Han-Wei (苏汉伟),Team WE,Mid,China,21.0
266,XL,He Xiao-Long (何小龙),87,Top,China,
267,xlanpang,Liao Jing (廖靖),SinoDragon Prince,Mid,China,
268,Xsq,Liu Han-Dong (刘汉东),VP Game,Support,China,
269,Xuzhu,Li Yu-Qing (李宇青),RW Shark,Jungler,China,19.0
270,Xx,Xiong Yu-Long (熊宇龙),Top Esports,Jungler,China,21.0
271,XXD,Ye Qing (叶青),Victorious Gaming,Mid,China,
272,Xzz,Liu Zhu (刘柱),VP Game,Mid,China,
273,y4,Wang Nong-Mo (王弄墨),Victory Five,Bot,China,21.0
274,YaGao,Zeng Qi (曾奇),JD Gaming,Mid,China,20.0
275,yan,Zhang Xiang-Wen (张香文),Victorious Gaming,Support,China,
276,Yang,Tong Chong-Yang (童重阳),Snake WuDu,Top,China,
277,YanXuan,Zhang Yu-Xuan (张宇轩),Legend Esport,Bot,China,
278,Ye,Ji Xin-Yu (季新宇),TS Gaming,Mid,China,17.0
279,yimeng,Chen Ming-Yong (陈铭墉),EDG Youth Team,Mid,China,
280,Yoghurt,Ye Zhi-Wei (叶志炜),FunPlus Blaze,Mid,China,
281,Youdang,Zeng Xian-Xin (曾宪鑫),Vici Gaming,Jungler,China,19.0
282,Ytt,Zhang Wen-Yu (张文宇),D7G Esports,Jungler,China,
283,Yuki,Xue Chao (薛超),Legend Esport,Top,China,
284,Yuuki,Hu Hao-Ming (胡浩明),LGD Gaming,Mid,China,19.0
285,Yuyanjia,Liang Jia-Yuan (梁家源),King of Future,Support,China,21.0
286,ZBB,Ke Zhi (柯智),LinGan e-Sports,Mid,China,
287,Zdz,Zhu De-Zhang (朱德彰),VG Potential,Top,China,
288,Zhaoyun,Liu Shuang-Yin (刘双胤),RW Shark,Top,China,17.0
289,Zhuang,Zhang Zhuang-Zhuang (张壮壮),Young Miracles,Mid,China,
290,zhuangzhou,Zhou Yong-Chong (周永冲),Gama Dream,Support,China,22.0
291,Zoom,Zhang Xing-Ran (张星冉),JD Gaming,Top,China,21.0
292,ZWuji,Mei Hong-Hui (梅鸿辉),Rogue Warriors,Bot,China,20.0
